age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,predictions
55,Private,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,55,United-States,<=50K,>50K
31,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
25,Private,13,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,>50K
47,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,<=50K
23,Private,10,Never-married,Tech-support,Own-child,White,Female,0,0,20,United-States,<=50K,>50K
66,Self-emp-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K,<=50K
22,State-gov,10,Never-married,Tech-support,Own-child,White,Female,0,0,10,United-States,<=50K,>50K
43,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K,<=50K
30,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
56,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,>50K,<=50K
70,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,>50K,<=50K
28,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,<=50K
24,State-gov,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,>50K
50,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,>50K
67,Private,14,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,<=50K
33,Private,12,Married-civ-spouse,Sales,Husband,Other,Male,0,0,40,Japan,>50K,<=50K
39,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
44,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K,<=50K
53,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,<=50K
31,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,,>50K,<=50K
29,Private,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,>50K
38,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Canada,<=50K,>50K
55,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K,>50K
32,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,England,>50K,<=50K
29,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K,<=50K
55,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,30,United-States,>50K,<=50K
43,Private,10,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,40,United-States,<=50K,>50K
68,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,10,United-States,>50K,<=50K
27,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,3908,0,40,United-States,<=50K,>50K
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,64,United-States,>50K,<=50K
49,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,>50K
52,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
29,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,<=50K
47,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,>50K,<=50K
38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
28,Self-emp-not-inc,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,5,United-States,<=50K,>50K
60,,13,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,<=50K,>50K
36,Private,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,40,United-States,>50K,<=50K
34,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,>50K
57,Private,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
48,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K,>50K
42,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,48,United-States,>50K,<=50K
36,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
32,Private,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,<=50K
49,Private,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
35,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K,<=50K
47,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,>50K
47,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K,<=50K
35,Private,9,Never-married,Sales,Not-in-family,White,Male,4787,0,40,United-States,>50K,<=50K
48,Self-emp-not-inc,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K,<=50K
48,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,>50K
41,Local-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
51,Private,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,>50K
32,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,<=50K
53,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,>50K
47,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,<=50K
50,Self-emp-inc,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,50,Trinadad&Tobago,<=50K,>50K
59,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,38,United-States,>50K,<=50K
41,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,>50K
46,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K,<=50K
51,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,>50K,<=50K
57,State-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
46,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
57,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K,<=50K
46,,11,Married-civ-spouse,,Wife,Black,Female,0,0,35,United-States,>50K,<=50K
49,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,26,United-States,>50K,<=50K
64,Private,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,<=50K
48,State-gov,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,56,United-States,>50K,<=50K
65,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,United-States,>50K,<=50K
58,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
75,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,20,United-States,>50K,<=50K
59,Private,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1485,40,United-States,>50K,<=50K
48,Self-emp-not-inc,16,Never-married,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,>50K,<=50K
46,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
39,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
55,State-gov,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K,<=50K
47,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
48,Private,13,Divorced,Sales,Not-in-family,Black,Male,0,0,40,United-States,>50K,<=50K
63,Private,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
25,Self-emp-inc,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,>50K,<=50K
34,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,England,<=50K,>50K
36,Private,5,Married-civ-spouse,Sales,Own-child,White,Male,0,0,50,United-States,>50K,<=50K
45,Private,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K,<=50K
35,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,>50K
40,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,<=50K
41,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
43,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,>50K,<=50K
43,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>50K,<=50K
47,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,75,United-States,>50K,<=50K
43,Private,10,Divorced,Sales,Unmarried,White,Female,0,0,55,United-States,>50K,<=50K
48,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K,>50K
68,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K
63,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,<=50K,>50K
38,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,>50K
50,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,3781,0,40,United-States,<=50K,>50K
68,,16,Married-civ-spouse,,Husband,White,Male,0,0,70,United-States,<=50K,>50K
68,,10,Married-civ-spouse,,Husband,White,Male,0,0,48,United-States,>50K,<=50K
43,Self-emp-inc,13,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,>50K,<=50K
27,Private,13,Never-married,Tech-support,Not-in-family,Black,Female,0,0,40,France,<=50K,>50K
31,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,>50K
41,Private,9,Divorced,Transport-moving,Unmarried,White,Male,7443,0,40,United-States,<=50K,>50K
36,Private,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
27,State-gov,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,48,United-States,<=50K,>50K
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,>50K
50,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K,<=50K
33,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,>50K
41,Private,16,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States,>50K,<=50K
47,Local-gov,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,7,United-States,>50K,<=50K
44,Federal-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
37,Private,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,65,United-States,<=50K,>50K
27,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,65,United-States,>50K,<=50K
58,Private,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K,<=50K
38,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,60,United-States,>50K,<=50K
39,Federal-gov,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,45,United-States,>50K,<=50K
48,Private,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,>50K
46,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,>50K
43,Private,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,>50K
38,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
51,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,>50K
48,Private,10,Never-married,Craft-repair,Unmarried,White,Female,0,0,38,United-States,>50K,<=50K
47,Self-emp-not-inc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K
42,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
55,Private,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,>50K,<=50K
40,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,>50K
44,Private,11,Separated,Craft-repair,Other-relative,White,Male,0,0,48,United-States,>50K,<=50K
58,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,>50K
62,,14,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,>50K,<=50K
32,Local-gov,10,Married-civ-spouse,Protective-serv,Wife,White,Female,0,0,40,France,>50K,<=50K
82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,<=50K,>50K
36,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K,<=50K
35,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,>50K
25,Federal-gov,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,<=50K,>50K
26,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,>50K,<=50K
37,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,>50K,<=50K
29,Private,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,50,United-States,<=50K,>50K
59,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K,<=50K
34,Private,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,>50K
56,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,<=50K,>50K
55,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,6,United-States,>50K,<=50K
40,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,<=50K,>50K
35,Private,10,Never-married,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,>50K
50,Private,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,>50K,<=50K
37,Self-emp-not-inc,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,>50K,<=50K
42,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,>50K
51,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,>50K
31,Private,10,Separated,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K,>50K
42,Self-emp-not-inc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,4386,0,80,United-States,>50K,<=50K
71,,9,Married-civ-spouse,,Husband,White,Male,0,2489,15,United-States,<=50K,>50K
28,Private,10,Never-married,Tech-support,Own-child,White,Female,0,0,24,United-States,<=50K,>50K
49,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,<=50K,>50K
27,Private,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,42,United-States,>50K,<=50K
25,Private,10,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,>50K
45,Private,13,Divorced,Sales,Not-in-family,White,Male,0,0,60,United-States,>50K,<=50K
51,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,<=50K
44,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,<=50K,>50K
33,State-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
38,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,>50K,<=50K
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,46,United-States,>50K,<=50K
42,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,<=50K
47,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,55,United-States,>50K,<=50K
39,Private,13,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,1564,50,,>50K,<=50K
30,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,<=50K
34,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,<=50K
20,Private,9,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K,>50K
36,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,>50K
44,Self-emp-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,>50K
41,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,>50K,<=50K
31,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K,<=50K
36,Private,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,>50K,<=50K
39,Private,9,Divorced,Tech-support,Unmarried,White,Female,0,0,50,United-States,<=50K,>50K
31,Private,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,90,United-States,<=50K,>50K
31,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,>50K,<=50K
60,Local-gov,11,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,>50K,<=50K
45,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,70,,<=50K,>50K
34,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
40,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K
68,,10,Married-civ-spouse,,Wife,White,Female,0,0,12,United-States,>50K,<=50K
34,Self-emp-inc,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,62,United-States,>50K,<=50K
56,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,41,United-States,>50K,<=50K
57,Private,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K,>50K
29,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,41,United-States,<=50K,>50K
44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,55,United-States,<=50K,>50K
40,Self-emp-not-inc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
34,Private,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,12,United-States,>50K,<=50K
61,Private,15,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,5,United-States,>50K,<=50K
47,Self-emp-not-inc,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,20,United-States,>50K,<=50K
37,Private,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,>50K,<=50K
34,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,<=50K
41,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,>50K
34,Private,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,>50K,<=50K
47,State-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
24,Self-emp-not-inc,10,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,30,United-States,>50K,<=50K
31,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,>50K
39,Federal-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
35,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,<=50K
45,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,<=50K
33,State-gov,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,>50K
47,Private,13,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,1564,51,United-States,>50K,<=50K
51,,11,Married-civ-spouse,,Husband,White,Male,0,0,50,United-States,>50K,<=50K
36,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,>50K,<=50K
27,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,>50K,<=50K
54,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
47,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,>50K
42,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K,<=50K
54,Federal-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,>50K
33,Private,10,Never-married,Tech-support,Not-in-family,Black,Male,0,0,40,Philippines,<=50K,>50K
22,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K,<=50K
24,Private,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,55,United-States,<=50K,>50K
57,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,>50K
39,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,>50K
33,Private,9,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,38,United-States,<=50K,>50K
56,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
45,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K,>50K
53,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K,<=50K
76,,10,Married-civ-spouse,,Husband,White,Male,0,0,20,United-States,>50K,<=50K
50,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,>50K
48,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K,<=50K
46,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,>50K
50,Self-emp-inc,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,>50K
36,Self-emp-not-inc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,<=50K,>50K
50,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,<=50K
39,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K
46,Private,7,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,35,United-States,>50K,<=50K
39,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,72,United-States,<=50K,>50K
34,Private,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,50,United-States,<=50K,>50K
31,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,4386,0,40,United-States,>50K,<=50K
45,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,>50K
43,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
57,Private,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,38,United-States,>50K,<=50K
30,Private,12,Never-married,Craft-repair,Not-in-family,White,Male,4787,0,50,United-States,>50K,<=50K
58,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,>50K
